Category,Dish,Rate
Starters,Veg Spring Rolls,134
Starters,Paneer Tikka,134
Starters,Hara Bhara Kabab,179
Starters,Garlic Bread with Cheese,157
Starters,Tandoori Mushrooms,141
Soups,Tomato Basil Soup,142
Soups,Sweet Corn Soup (Veg),163
Soups,Hot & Sour Soup (Veg),153
Soups,Cream of Mushroom,127
Soups,Manchow Soup,144
Salads,Greek Salad,133
Salads,Caesar Salad,147
Salads,Sprout Salad,129
Salads,Russian Salad,137
Main Course ? Indian (Veg),Paneer Butter Masala,214
Main Course ? Indian (Veg),Palak Paneer,191
Main Course ? Indian (Veg),Veg Kolhapuri,230
Main Course ? Indian (Veg),Dal Makhani,262
Main Course ? Indian (Veg),Mix Veg Curry,188
Main Course ? Indian (Veg),Chole Masala,187
Main Course ? Indian (Veg),Jeera Aloo,300
Main Course ? Indian (Veg),Malai Kofta,271
South Indian,Masala Dosa,140
South Indian,Medu Vada,179
South Indian,Idli Sambar,142
South Indian,Uttapam (Onion / Mix Veg),149
South Indian,Pongal,133
South Indian,Rasam,145
Continental / Pasta,Penne Alfredo (Veg),174
Continental / Pasta,Spaghetti Aglio e Olio,190
Continental / Pasta,Baked Mac and Cheese,163
Continental / Pasta,Grilled Veg Sizzler,214
Chinese,Veg Hakka Noodles,232
Chinese,Veg Fried Rice,190
Chinese,Paneer Chilli,193
Chinese,Schezwan Triple Rice (Veg),211
Indian Breads,Tandoori Roti,50
Indian Breads,Butter Naan,31
Indian Breads,Garlic Naan,32
Indian Breads,Lachha Paratha,41
Indian Breads,Missi Roti,55
Indian Breads,Plain/Stuffed Kulcha,73
Rice & Biryani,Steamed Basmati Rice,179
Rice & Biryani,Jeera Rice,182
Rice & Biryani,Veg Pulao,197
Rice & Biryani,Curd Rice,157
Desserts,Gulab Jamun,118
Desserts,Rasgulla,65
Desserts,Gajar Halwa,110
Desserts,Ice Cream (Vanilla/Chocolate/Strawberry),90
Desserts,Brownie with Ice Cream,78
Desserts,Fruit Custard,83
Beverages,Masala Chaas,42
Beverages,Sweet/Salty Lassi,40
Beverages,Fresh Lime Soda,39
Beverages,Cold Coffee,77
Beverages,Filter Coffee,30
Beverages,Masala Tea,36
Beverages,Soft Drinks,69
Beverages,Mineral Water,71
